index,tourney_name,tourney_date,round,minutes,score,winner_name,loser_name,NBI,comeback,avg_set_margin,tiebreak_count,lead_changes,bp_saved_ratio,bp_total
189218,Australian Open,20230116,SF,201.0,7-6(2) 6-4 6-7(6) 6-3,Stefanos Tsitsipas,Karen Khachanov,0.892857142857143,0,1.75,2,2,0.5,16.0
129236,US Open,20020826,SF,177.0,6-4 7-6(5) 6-7(1) 6-2,Andre Agassi,Lleyton Hewitt,0.8694444444444444,0,2.0,2,2,0.4444444444444444,27.0
145154,Roland Garros,20070528,SF,181.0,7-5 7-6(5) 7-6(7),Roger Federer,Nikolay Davydenko,0.8656250000000001,0,1.3333333333333333,3,0,0.78125,32.0
157222,Wimbledon,20110620,SF,187.0,7-6(4) 6-2 6-7(9) 6-3,Novak Djokovic,Jo-Wilfried Tsonga,0.8581699346405229,0,2.25,2,2,0.47058823529411764,17.0
148240,Roland Garros,20080525,SF,185.0,6-2 5-7 6-3 7-5,Roger Federer,Gael Monfils,0.8551948051948053,0,2.75,2,2,0.6428571428571429,28.0
148526,US Open,20080825,SF,164.0,6-3 5-7 7-5 6-2,Roger Federer,Novak Djokovic,0.847159090909091,0,2.75,2,2,0.5625,16.0
167589,Australian Open,20150119,F,219.0,7-6(5) 6-7(4) 6-3 6-0,Novak Djokovic,Andy Murray,0.840909090909091,0,2.75,2,2,0.5,28.0
188236,Us Open,20220829,SF,180.0,7-6(5) 6-2 5-7 6-2,Casper Ruud,Karen Khachanov,0.840909090909091,0,2.75,2,2,0.5,18.0
184960,Wimbledon,20210628,SF,164.0,7-6(3) 7-5 7-5,Novak Djokovic,Denis Shapovalov,0.8309523809523811,0,1.6666666666666667,3,0,0.8095238095238095,21.0
142149,Wimbledon,20060626,F,178.0,6-0 7-6(5) 6-7(2) 6-3,Roger Federer,Rafael Nadal,0.8293706293706294,0,2.75,2,2,0.38461538461538464,13.0
151651,US Open,20090831,SF,154.0,7-6(3) 7-5 7-5,Roger Federer,Novak Djokovic,0.8192307692307693,0,1.6666666666666667,3,0,0.6923076923076923,13.0
184834,Roland Garros,20210531,SF,217.0,6-3 6-3 4-6 4-6 6-3,Stefanos Tsitsipas,Alexander Zverev,0.7561538461538462,1,2.6,0,2,0.6,20.0
135534,Wimbledon,20040621,F,151.0,4-6 7-5 7-6(3) 6-4,Roger Federer,Andy Roddick,0.755357142857143,0,1.75,2,1,0.625,24.0
182113,Australian Open,20200120,SF,222.0,3-6 6-4 7-6(3) 7-6(4),Dominic Thiem,Alexander Zverev,0.7537267080745342,0,1.75,2,1,0.6086956521739131,23.0
172721,US Open,20160829,F,234.0,6-7(1) 6-4 7-5 6-3,Stan Wawrinka,Novak Djokovic,0.7416666666666667,0,2.0,2,1,0.6666666666666666,27.0
161744,Australian Open,20130114,F,220.0,6-7(2) 7-6(3) 6-3 6-2,Novak Djokovic,Andy Murray,0.741111111111111,0,2.25,2,1,0.8,15.0
158738,Australian Open,20120116,SF,222.0,6-7(5) 6-2 7-6(5) 6-4,Rafael Nadal,Roger Federer,0.7403846153846154,0,2.0,2,1,0.6538461538461539,26.0
139169,Australian Open,20050117,SF,174.0,3-6 7-6(3) 7-6(4) 6-1,Lleyton Hewitt,Andy Roddick,0.7250000000000001,0,2.5,2,1,0.75,20.0
155726,Australian Open,20110117,SF,226.0,4-6 7-6(2) 6-1 7-6(2),Andy Murray,David Ferrer,0.7231800766283525,0,2.25,2,1,0.6206896551724138,29.0
138696,Roland Garros,20050523,F,204.0,6-7(6) 6-3 6-1 7-5,Rafael Nadal,Mariano Puerta,0.706534090909091,0,2.75,2,1,0.65625,32.0
160969,US Open,20120827,SF,238.0,5-7 6-2 6-1 7-6(7),Andy Murray,Tomas Berdych,0.6976190476190476,0,3.0,2,1,0.6428571428571429,28.0
169760,US Open,20150831,F,200.0,6-4 5-7 6-4 6-4,Novak Djokovic,Roger Federer,0.6972222222222222,0,2.0,1,2,0.7222222222222222,36.0
142275,US Open,20060828,SF,164.0,6-7(5) 6-0 7-6(3) 6-3,Andy Roddick,Mikhail Youzhny,0.6947552447552449,0,2.75,2,1,0.5384615384615384,13.0
125724,Roland Garros,20010528,F,192.0,6-7(3) 7-5 6-2 6-0,Gustavo Kuerten,Alex Corretja,0.6916289592760181,0,3.25,2,1,0.6470588235294118,34.0
138979,US Open,20050829,SF,178.0,6-3 7-6(0) 4-6 6-3,Roger Federer,Lleyton Hewitt,0.6861111111111111,0,2.25,1,2,0.75,28.0
148525,US Open,20080825,SF,211.0,6-2 7-6(5) 4-6 6-4,Andy Murray,Rafael Nadal,0.685024154589372,0,2.25,1,2,0.7391304347826086,23.0
129238,US Open,20020826,F,172.0,6-3 6-4 5-7 6-4,Pete Sampras,Andre Agassi,0.6811111111111111,0,2.25,1,2,0.7,20.0
167588,Australian Open,20150119,SF,206.0,6-7(6) 6-0 6-3 7-5,Andy Murray,Tomas Berdych,0.6794871794871795,0,3.0,2,1,0.46153846153846156,13.0
172034,Wimbledon,20160627,F,168.0,6-4 7-6(3) 7-6(2),Andy Murray,Milos Raonic,0.6763888888888889,0,1.3333333333333333,2,0,0.8888888888888888,9.0
154888,US Open,20100830,F,223.0,6-4 5-7 6-4 6-2,Rafael Nadal,Novak Djokovic,0.6724137931034484,0,2.5,1,2,0.7241379310344828,29.0
188238,Us Open,20220829,F,200.0,6-4 2-6 7-6(1) 6-3,Carlos Alcaraz,Casper Ruud,0.6714285714285715,0,2.5,1,2,0.7142857142857143,21.0
142465,Australian Open,20060116,F,166.0,5-7 7-5 6-0 6-2,Roger Federer,Marcos Baghdatis,0.6714285714285715,0,3.5,2,1,0.5,22.0
160348,Wimbledon,20120625,SF,167.0,6-3 6-4 3-6 7-5,Andy Murray,Jo-Wilfried Tsonga,0.67,0,2.5,1,2,0.7,20.0
180643,Wimbledon,20190701,SF,182.0,7-6(3) 1-6 6-3 6-4,Roger Federer,Rafael Nadal,0.6686868686868686,0,2.75,1,2,0.7777777777777778,18.0
175055,Wimbledon,20170703,SF,138.0,7-6(4) 7-6(4) 6-4,Roger Federer,Tomas Berdych,0.6675,0,1.3333333333333333,2,0,0.8,15.0
186304,Australian Open,20220117,SF,150.0,7-6(5) 4-6 6-4 6-1,Daniil Medvedev,Stefanos Tsitsipas,0.6625000000000001,0,2.5,1,2,0.625,16.0
191204,Us Open,20230828,SF,199.0,7-6(3) 6-1 3-6 6-3,Daniil Medvedev,Carlos Alcaraz,0.6583333333333332,0,3.0,1,2,0.75,16.0
145441,US Open,20070827,F,144.0,7-6(4) 7-6(2) 6-4,Roger Federer,Novak Djokovic,0.6517857142857143,0,1.3333333333333333,2,0,0.6428571428571429,14.0
132172,Roland Garros,20030526,SF,160.0,7-6(4) 6-4 7-6(0),Martin Verkerk,Guillermo Coria,0.6517857142857143,0,1.3333333333333333,2,0,0.6428571428571429,14.0
138981,US Open,20050829,F,139.0,6-3 2-6 7-6(1) 6-1,Roger Federer,Andre Agassi,0.6477564102564102,0,3.25,1,2,0.7083333333333334,24.0
166842,US Open,20140825,SF,172.0,6-4 1-6 7-6(4) 6-3,Kei Nishikori,Novak Djokovic,0.6459090909090909,0,2.75,1,2,0.55,20.0
